BSE Code,Stock,Current Ratio,R&S to SEC,Debt to Equity Ratio,ROCE,ROA,EBIT CAGR 5 yrs,EBIT CAGR 4 yrs,EBIT CAGR 3 yrs,EBIT CAGR 2 yrs,P/E,Revenue,Public Shareholding,LTP,BV,NoS,P/BV,Correction from 52wk high,Revenue CQGR 5 yrs,Revenue CQGR 4 yrs,Revenue CQGR 3 yrs,Revenue CQGR 2 yrs,Profit CQGR 5 yrs,Profit CQGR 4 yrs,Profit CQGR 3 yrs,Profit CQGR 2 yrs,Revenue CAGR 5 yrs,Revenue CAGR 4 yrs,Revenue CAGR 3 yrs,Revenue CAGR 2 yrs
507300,RAVALSUGAR,0.26652221,6.764705882,0,-87.12121212,-10.90047393,9.070412193,9.309409483,186.940059,-59.86105078,-8.739961816,9.1,42.75945929,1048.95,2.64,"3,16,620",12.58024807,-20.44066897,-5.175335181,-1.653804167,3.895047749,0,-14.8698355,14.97169996,7.789208852,0,-3.72140556,9.053064987,3.94318633,-1.671086691
532670,RENUKA,0.58778949,-5.140977444,-3.729005901,8.741258741,6.542437074,26.04083373,3.353847603,25.11799881,9.914090697,-19.29417381,"10,351.40",37.43257439,42.95,-880.6,"2,12,55,07,353",-10.36685678,-24.97816594,3.62,5.26,5.4,4,-1.523251468,-5.801493658,22.12618208,24.66422288,15.95,12.73,9.75,2.6
507315,SAKHTISUG,0.54102768,-1.091123265,-48.2179132,34.89812109,21.62262613,324.6782945,40.37268502,62.53826468,-13.17753735,1.625936179,"1,100.30",39.50531012,33.4,-10.82,"11,75,52,759",-36.28708087,-28.46433926,-3.969133036,-14.35231952,-16.26637159,-8.504198333,247.2515352,185.6286603,185.8049432,216.4658616,3.56,11.33,6.441425656,0.588265005
532102,SBECSUG,0.373620183,-1.466135458,-1.169140801,-0.51948052,-0.043569821,143.1305543,49.7361386,130.1006719,#NUM!,-6.046532213,633.5,21.75241332,46.5,5.77,"3,96,60,050",31.96173873,-11.42857143,,,,,,,,,,,,
539742,SIMBHALS,0.297110196,-3.880571705,-0.068623329,177.7777778,0.114877608,-22.52839417,-44.22496003,-31.90228339,#NUM!,-4.622868583,"1,342.90",46.01367008,27.75,-14.97,"4,07,80,305",-7.559475376,-27.92207792,,,,,,,,,,,,
532879,SSLEL,0.316716651,54.23809524,0.152310345,-4.889781678,-2.530918245,194.7700855,-94.2258783,-54.66803738,5.003209297,-6.429614489,467.8,35.37535646,304.95,290,"50,18,030",0.52767181,-20.44090791,,,,,,,,,,,,
532356,TRIVENI,1.973122922,120.7565098,0.149903386,17.62255687,13.7054265,3.887883747,4.589070532,2.368347868,-44.80573231,16.88670625,"6,019.60",38.99808148,327.45,"2,665.25","21,88,31,088",2.688537277,-21.47482014,0.99,-0.36,5.42,-0.67,-0.04139931,-6.02306212,9.093524835,25.13573035,6.12,5.05,6.89,1.11
530363,UGARSUGAR,1.172478149,18.62933333,0.699044514,28.66422448,16.56518038,21.64083234,25.49605889,19.07959803,-12.15163038,10.79057919,"1,696.30",48.71629136,76.1,220.84,"9,72,57,194",3.351418431,-43.89974198,-8.108581491,-8.555282277,12.18083545,7.675232594,-4.269936302,-10.39810494,58.33312053,224.6141801,14.2,12.03,8.28,-1.186317782
532729,UTTAMSUGAR,1.035318165,14.1135291,0.261089811,30.28161791,16.37878956,10.21175052,7.889328529,1.780287011,10.55184816,7.997909228,"2,118.10",26.02313001,336.75,576.43,"3,79,96,002",2.219723761,-37.07959641,1.87829249,-0.383997963,2.402340513,-3.017849073,7.615516763,-7.9299767,2.132640141,11.49038861,5.05,3,1,0.48
542852,VISHWARAJ,1.195034853,5.805111821,0.471557121,8.69810333,5.949020202,11.38241786,-2.548829838,-18.39711007,-9.717424736,-8.105430382,587.7,64.83909625,15.91,255.6,"17,99,50,750",1.120115975,-28.49438202,0.805627731,-11.78312043,-5.591248871,-5.09284425,-2.635281938,28.68173968,91.16490337,298.7340755,9.589579633,6.592150415,4.557729149,-1.04519258
500780,ZUARIIND,1.516152607,79.42209537,0.762543999,17.05077449,17.71204881,58.0584693,60.87756634,68.54359402,137.3106943,1.388955125,"1,126",42.75976299,353.75,"2,381.79","2,95,56,270",0.438977849,-5.351170569,-3.763941393,-13.7063807,-8.575297716,-9.237601647,-21.45481524,156.9802306,186.143284,-2.314587308,46.47364084,45.31923686,3.573308505,0.5067514
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
